#GRM21BR72A104KAC4  |X| series
#XUnit:Frequency[Hz], YUnit:Reactance[ohm]
100000,16.210630786021
102788.70110918372,15.77377703986643
105655.17075713108,15.348696172130502
108601.57767594514,14.935068305454063
111630.15107718526,14.53258236641401
114743.18233845817,14.140935861987561
117943.02673704346,13.75983465937197
121232.10523186425,13.38899276903942
124612.90629515205,13.028132130950704
128087.987795191,12.676982403892726
131659.9789315666,12.335280757943602
135331.58222438226,12.002771670103709
139105.5755589495,11.679206723161602
142984.81428749833,11.364344407888478
146972.23338949808,11.057949928674985
151070.8496922231,10.75979501273787
155283.7641532434,10.46965772303247
159614.16420656713,10.187322275009887
164065.32617421,9.912578857355419
168640.6177450161,9.645223456837474
173343.50052260564,9.385057687385347
178177.5326443774,9.131888623499181
183146.37147354736,8.885528638077924
188253.77636625993,8.645795244731548
193503.61151586607,8.412510944622657
198899.8488765196,8.185503077860742
204446.57116830384,7.964603679450872
210147.9749661624,7.749649339776956
216008.37387497092,7.540481069579686
222032.2017931519,7.336944169370225
228224.0162673026,7.138888103203756
234588.50194037252,6.946166376721468
241130.4740960012,6.75863641935698
247854.8823016963,6.576159470591869
254766.81415360977,6.398600470136551
261871.4991257435,6.225827951906171
269174.31252649915,6.057713941656726
276680.7795655633,5.894133858143943
284396.5795342063,5.734966417666927
292327.55010215734,5.580093541859055
300479.69173430576,5.429400268591047
308859.17223057215,5.282774665854189
317472.3313923818,5.140107748496278
326325.6858192726,5.001293397687758
335425.9338392661,4.866228283001223
344779.96057673154,4.734811786993745
354394.84316157806,4.606945932187545
364277.85608371487,4.48253531035132
374436.4766968321,4.36148701399071
384878.3908756651,4.2437105699629
395611.4988310233,4.129117875136238
406643.9210869824,4.0176231340215525
417984.00462476327,3.9091427983070868
429640.32919794455,3.803595508233756
441621.7138237883,3.700902035751673
453937.2234555885,3.6009852294026024
466596.17584109225,3.503769960875968
479608.14857218147,3.409183073188516
492982.9863311494,3.3171533304395333
506730.8083390533,3.227611369094648
520862.01601178007,3.1404896507518596
535387.3008296173,3.0557224163434324
550317.6524262817,2.9732456417268396
565664.3669035273,2.8929969946169494
581439.055377623,2.8149157928104414
597653.6527641661,2.738942963651845
614320.4268078775,2.6650210046888727
631451.987364211,2.59309394546298
649061.2959397994,2.523107310379366
667161.6754989547,2.455008082599128
685766.8205436427,2.3887446688950655
704890.8074745572,2.3242668654118797
724548.1052411343,2.261525824271198
744753.5862885636,2.200474020962267
765522.5378100782,2.1410652224601625
786870.6733130394,2.0832544560151676
808814.1445075616,2.0269979785594745
831369.5535266787,1.972253246680675
854553.9654872931,1.918978887115506
878384.9214014106,1.8671346677219522
902880.4514474344,1.816681468893072
928059.088611552,1.767581255381579
953939.8827095424,1.7197970485102172
980542.4147996096,1.673292898749161
1007886.811997143,1.6280338586478944
1035993.7627026236,1.5839859561150742
1064884.5322541862,1.5411161680456937
1094580.9790166845,1.499392394300232
1125105.5709194369,1.458783432045238
1156481.402455155,1.4192589504690274
1188732.2121529256,1.3807894658894921
1221882.4005384585,1.3433463172736906
1255957.0485951952,1.3069016421906698
1290981.9367402403,1.2714283532199337
1326983.5643294768,1.2369001148381367
1363989.1697066186,1.2032913208060498
1402026.750811373,1.1705770720765831
1441125.0863623023,1.1387331552427933
1481313.7576304127,1.107736021542543
1522623.170819943,1.0775627664336875
1565084.5800732872,1.048191109750733
1608730.1111174547,1.0195993764506786
1653592.7855699598,0.9917664779525375
1699706.545922531,0.9646718940717522
1747106.281221541,0.9382956555475715
1795827.853464585,0.9126183271584885
1845908.124733182,0.8876209914180065
1897384.9850821288,0.8632852328405415
1950297.3812065995,0.8395931227650129
2004685.345908689,0.8165272047217893
2060590.0283856883,0.7940704803270432
2118053.725363009,0.7722063956873276
2177119.9130953145,0.7509188282962183
2237833.2802600623,0.7301920744041953
2300239.761768357,0.7100108368425618
2364386.573518676,0.6903602132820441
2430322.2481197827,0.6712256849067867
2498096.671609838,0.6525931054847205
2567761.121199503,0.6344486908157129
2639368.304067582,0.6167790085394335
2712972.3972385586,0.5995709682855337
2788629.0885721985,0.5828118121494649
2866395.6188962315,0.5664891054779966
2946330.8253139844,0.5505907279493422
3028495.1857197373,0.5351048649335478
3112950.8645554795,0.5200199991196295
3199761.7598436824,0.5053249023966827
3288993.55153168,0.4910086279769378
3380713.751184225,0.477060502749389
3474991.7530618263,0.4634701198532774
3571898.8866235046,0.45022733146126115
3671508.470493696,0.43732224176262424
3773895.8679341273,0.42474520013732797
3879138.5438626455,0.4124867945120958
3987316.123462116,0.4005378448900718
4098510.4524237663,0.38888939704588205
4212805.658870518,0.37753271637817704
4330288.217007196,0.3664592819119507
4451047.012545724,0.3556607804431288
4575173.409954877,0.34512910081807224
4702761.321585367,0.33485632834082846
4833907.278722681,0.32483473930110085
4968710.504621333,0.315056795616085
5107272.989575837,0.3055151395794916
5249699.568085179,0.2962025887112731
5396097.998169184,0.2871121307017774
5546579.042896769,0.27823691844429504
5701256.554187783,0.2695702651502112
5860247.558951827,0.2611056395412549
6023672.347629229,0.2528366611136231
6191654.565201159,0.24475709546905045
6364321.304737748,0.23686084970819593
6541803.203554986,0.22914196788200275
6724234.542053141,0.22159462649695577
6911753.345311492,0.21421313007040355
7104501.4875162365,0.20699190673230738
7302624.799300576,0.19992550386992403
7506273.178078197,0.19300858381201458
7715600.701453624,0.18623591954917637
7930765.743795249,0.17960239048681687
8151931.096059229,0.17310297822711868
8379264.0889549265,0.16673276237606668
8612936.719545046,0.1604869163712226
8853125.781376285,0.1543607033254217
9100012.998238957,0.14834947188092892
9353785.16165671,0.14244865206781593
9614634.272210494,0.13665375115939019
9882757.684803586,0.1309603495164181
10158358.257977644,0.12536409641061616
10441644.50739272,0.11986070581641066
10732830.763587404,0.11444595215827705
11032137.33413838,0.10911566599901838
11339790.670342166,0.10386572965209573
11656023.538545111,0.09869207269853734
11981075.196251236,0.09359066738595831
12315191.57314123,0.0885575238837409
12658625.45713952,0.0835886853643919
13011636.685670184,0.07868022287634743
13374492.342246424,0.07382822996795126
13747466.958542343,0.06902881701578086
14130842.72209988,0.06427810520275536
14524909.689828089,0.059572220082268326
14929966.007456258,0.05490728465365154
15346318.135106944,0.050279411861216323
15774281.079159534,0.045684696413503444
16214178.630579814,0.041119205800658205
16666343.609895824,0.036578970365409386
17131118.11900536,0.032059972256224936
17608853.800005626,0.02755813305898946
18099912.10124092,0.023069299865071367
18604664.550769508,0.018589229487940274
19123493.03745673,0.014113570486687165
19656790.099906955,0.009637842592362387
20204959.22345298,0.005157413062282662
20768415.145427532,0.0006674694103956761
21347584.16894795,0.003837012116162178
21942904.48545133,0.008361303011260162
22554826.506224237,0.012910964664341891
23183813.203177776,0.017491896878103076
23830340.459125876,0.022110393220794847
24494897.42783178,0.0267732031515971
25177986.90409513,0.03148759971070912
25880125.704159778,0.03626144926329666
26601845.056729805,0.04110327531600737
27343691.004890185,0.04602229988037911
28106224.81923531,0.05102842961420475
28890023.42251901,0.0561321230634043
29695679.826146223,0.061344016234091005
30523803.57883763,0.0666740700343814
31375021.22780571,0.07212978324036007
32249976.792792182,0.0777125892511317
33149332.25332425,0.083410741771183
34073768.04955973,0.08918550146525378
35023983.59709846,0.09494498338439913
36000697.8161511,0.10049725162029487
37004649.67546397,0.10547654543835885
38036598.7514132,0.1092651709380892
39097325.8026896,0.11103636036917164
40187633.3610104,0.11020421454396667
41308346.33830356,0.10733943658759211
42460312.65082532,0.10446626193951625
43644403.860681735,0.10363958785548526
44861515.83524121,0.10547320274295496
46112569.42493519,0.109381213139799
47398511.15996151,0.11449739414517239
