Freq.	V(n001)/I(C1)
2.29086765276777e+002	(5.68364026159305e+001dB,-8.99990928164077e+001°)
2.34422881531992e+002	(5.66364026151337e+001dB,-8.99990716853872e+001°)
2.39883291901949e+002	(5.64364026142994e+001dB,-8.99990500621620e+001°)
2.45470891568503e+002	(5.62364026134257e+001dB,-8.99990279352672e+001°)
2.51188643150958e+002	(5.60364026125108e+001dB,-8.99990052929708e+001°)
2.57039578276886e+002	(5.58364026115528e+001dB,-8.99989821232675e+001°)
2.63026799189538e+002	(5.56364026105497e+001dB,-8.99989584138725e+001°)
2.69153480392691e+002	(5.54364026094993e+001dB,-8.99989341522147e+001°)
2.75422870333816e+002	(5.52364026083994e+001dB,-8.99989093254303e+001°)
2.81838293126445e+002	(5.50364026072477e+001dB,-8.99988839203559e+001°)
2.88403150312660e+002	(5.48364026060417e+001dB,-8.99988579235212e+001°)
2.95120922666638e+002	(5.46364026047788e+001dB,-8.99988313211424e+001°)
3.01995172040201e+002	(5.44364026034564e+001dB,-8.99988040991146e+001°)
3.09029543251358e+002	(5.42364026020717e+001dB,-8.99987762430043e+001°)
3.16227766016837e+002	(5.40364026006218e+001dB,-8.99987477380418e+001°)
3.23593656929628e+002	(5.38364025991035e+001dB,-8.99987185691135e+001°)
3.31131121482590e+002	(5.36364025975136e+001dB,-8.99986887207535e+001°)
3.38844156139202e+002	(5.34364025958489e+001dB,-8.99986581771359e+001°)
3.46736850452531e+002	(5.32364025941056e+001dB,-8.99986269220660e+001°)
3.54813389233575e+002	(5.30364025922802e+001dB,-8.99985949389719e+001°)
3.63078054770101e+002	(5.28364025903688e+001dB,-8.99985622108959e+001°)
3.71535229097172e+002	(5.26364025883673e+001dB,-8.99985287204851e+001°)
3.80189396320560e+002	(5.24364025862715e+001dB,-8.99984944499823e+001°)
3.89045144994280e+002	(5.22364025840769e+001dB,-8.99984593812170e+001°)
3.98107170553496e+002	(5.20364025817789e+001dB,-8.99984234955951e+001°)
4.07380277804112e+002	(5.18364025793726e+001dB,-8.99983867740898e+001°)
4.16869383470335e+002	(5.16364025768528e+001dB,-8.99983491972306e+001°)
4.26579518801592e+002	(5.14364025742143e+001dB,-8.99983107450939e+001°)
4.36515832240165e+002	(5.12364025714515e+001dB,-8.99982713972919e+001°)
4.46683592150962e+002	(5.10364025685585e+001dB,-8.99982311329617e+001°)
4.57088189614874e+002	(5.08364025655291e+001dB,-8.99981899307548e+001°)
4.67735141287197e+002	(5.06364025623569e+001dB,-8.99981477688251e+001°)
4.78630092322637e+002	(5.04364025590353e+001dB,-8.99981046248180e+001°)
4.89778819368445e+002	(5.02364025555571e+001dB,-8.99980604758577e+001°)
5.01187233627271e+002	(5.00364025519149e+001dB,-8.99980152985359e+001°)
5.12861383991364e+002	(4.98364025481012e+001dB,-8.99979690688992e+001°)
5.24807460249771e+002	(4.96364025441077e+001dB,-8.99979217624357e+001°)
5.37031796370251e+002	(4.94364025399259e+001dB,-8.99978733540631e+001°)
5.49540873857623e+002	(4.92364025355471e+001dB,-8.99978238181146e+001°)
5.62341325190348e+002	(4.90364025309620e+001dB,-8.99977731283256e+001°)
5.75439937337155e+002	(4.88364025261607e+001dB,-8.99977212578196e+001°)
5.88843655355587e+002	(4.86364025211332e+001dB,-8.99976681790942e+001°)
6.02559586074356e+002	(4.84364025158687e+001dB,-8.99976138640063e+001°)
6.16595001861481e+002	(4.82364025103561e+001dB,-8.99975582837575e+001°)
6.30957344480192e+002	(4.80364025045837e+001dB,-8.99975014088782e+001°)
6.45654229034654e+002	(4.78364024985393e+001dB,-8.99974432092126e+001°)
6.60693448007594e+002	(4.76364024922100e+001dB,-8.99973836539026e+001°)
6.76082975391980e+002	(4.74364024855825e+001dB,-8.99973227113711e+001°)
6.91830970918935e+002	(4.72364024786425e+001dB,-8.99972603493055e+001°)
7.07945784384136e+002	(4.70364024713755e+001dB,-8.99971965346406e+001°)
7.24435960074988e+002	(4.68364024637661e+001dB,-8.99971312335411e+001°)
7.41310241300916e+002	(4.66364024557980e+001dB,-8.99970644113833e+001°)
7.58577575029182e+002	(4.64364024474543e+001dB,-8.99969960327374e+001°)
7.76247116628690e+002	(4.62364024387175e+001dB,-8.99969260613480e+001°)
7.94328234724279e+002	(4.60364024295689e+001dB,-8.99968544601153e+001°)
8.12830516164097e+002	(4.58364024199891e+001dB,-8.99967811910754e+001°)
8.31763771102669e+002	(4.56364024099579e+001dB,-8.99967062153801e+001°)
8.51138038202374e+002	(4.54364023994539e+001dB,-8.99966294932762e+001°)
8.70963589956078e+002	(4.52364023884548e+001dB,-8.99965509840846e+001°)
8.91250938133743e+002	(4.50364023769374e+001dB,-8.99964706461788e+001°)
9.12010839355907e+002	(4.48364023648772e+001dB,-8.99963884369623e+001°)
9.33254300796988e+002	(4.46364023522486e+001dB,-8.99963043128469e+001°)
9.54992586021433e+002	(4.44364023390248e+001dB,-8.99962182292287e+001°)
9.77237220955808e+002	(4.42364023251779e+001dB,-8.99961301404650e+001°)
9.99999999999997e+002	(4.40364023106783e+001dB,-8.99960399998500e+001°)
1.02329299228075e+003	(4.38364022954954e+001dB,-8.99959477595898e+001°)
1.04712854805090e+003	(4.36364022795970e+001dB,-8.99958533707775e+001°)
1.07151930523760e+003	(4.34364022629492e+001dB,-8.99957567833667e+001°)
1.09647819614318e+003	(4.32364022455169e+001dB,-8.99956579461455e+001°)
1.12201845430196e+003	(4.30364022272630e+001dB,-8.99955568067090e+001°)
1.14815362149688e+003	(4.28364022081489e+001dB,-8.99954533114318e+001°)
1.17489755493953e+003	(4.26364021881339e+001dB,-8.99953474054391e+001°)
1.20226443461741e+003	(4.24364021671757e+001dB,-8.99952390325782e+001°)
1.23026877081238e+003	(4.22364021452297e+001dB,-8.99951281353882e+001°)
1.25892541179416e+003	(4.20364021222495e+001dB,-8.99950146550700e+001°)
1.28824955169313e+003	(4.18364020981862e+001dB,-8.99948985314545e+001°)
1.31825673855640e+003	(4.16364020729888e+001dB,-8.99947797029716e+001°)
1.34896288259165e+003	(4.14364020466039e+001dB,-8.99946581066167e+001°)
1.38038426460288e+003	(4.12364020189756e+001dB,-8.99945336779176e+001°)
1.41253754462275e+003	(4.10364019900452e+001dB,-8.99944063509005e+001°)
1.44543977074592e+003	(4.08364019597513e+001dB,-8.99942760580548e+001°)
1.47910838816820e+003	(4.06364019280297e+001dB,-8.99941427302974e+001°)
1.51356124843620e+003	(4.04364018948131e+001dB,-8.99940062969360e+001°)
1.54881661891248e+003	(4.02364018600311e+001dB,-8.99938666856317e+001°)
1.58489319246111e+003	(4.00364018236098e+001dB,-8.99937238223606e+001°)
1.62181009735892e+003	(3.98364017854721e+001dB,-8.99935776313745e+001°)
1.65958690743755e+003	(3.96364017455370e+001dB,-8.99934280351608e+001°)
1.69824365246174e+003	(3.94364017037198e+001dB,-8.99932749544014e+001°)
1.73780082874937e+003	(3.92364016599318e+001dB,-8.99931183079308e+001°)
1.77827941003892e+003	(3.90364016140802e+001dB,-8.99929580126926e+001°)
1.81970085860998e+003	(3.88364015660676e+001dB,-8.99927939836959e+001°)
1.86208713666286e+003	(3.86364015157923e+001dB,-8.99926261339701e+001°)
1.90546071796324e+003	(3.84364014631475e+001dB,-8.99924543745189e+001°)
1.94984459975804e+003	(3.82364014080217e+001dB,-8.99922786142728e+001°)
1.99526231496887e+003	(3.80364013502979e+001dB,-8.99920987600410e+001°)
2.04173794466952e+003	(3.78364012898537e+001dB,-8.99919147164622e+001°)
2.08929613085403e+003	(3.76364012265608e+001dB,-8.99917263859535e+001°)
2.13796208950222e+003	(3.74364011602850e+001dB,-8.99915336686594e+001°)
2.18776162394954e+003	(3.72364010908857e+001dB,-8.99913364623982e+001°)
2.23872113856833e+003	(3.70364010182157e+001dB,-8.99911346626079e+001°)
2.29086765276776e+003	(3.68364009421210e+001dB,-8.99909281622913e+001°)
2.34422881531991e+003	(3.66364008624399e+001dB,-8.99907168519586e+001°)
2.39883291901948e+003	(3.64364007790036e+001dB,-8.99905006195697e+001°)
